features;accuracy;timeTraining;timeTesting
2780;65.9375;0.16315817832946777;0.05242204666137695
2790;65.9375;0.16102886199951172;0.052983760833740234
2800;65.9375;0.16013598442077637;0.05302929878234863
2810;65.9375;0.1596832275390625;0.05280280113220215
2820;65.9375;0.158721923828125;0.05289912223815918
2830;65.9375;0.1607344150543213;0.05313873291015625
2840;65.9375;0.16041350364685059;0.0534055233001709
2850;65.9375;0.1602306365966797;0.05317258834838867
2860;65.9375;0.18026041984558105;0.053193092346191406
2870;65.9375;0.16046500205993652;0.05291152000427246
2880;65.9375;0.16051244735717773;0.05357670783996582
2890;65.9375;0.15984082221984863;0.052736759185791016
2900;65.9375;0.16197562217712402;0.05411863327026367
2910;65.9375;0.1639995574951172;0.05287361145019531
2920;65.9375;0.16133475303649902;0.05241966247558594
2930;65.9375;0.16080498695373535;0.0537264347076416
2940;65.625;0.16119933128356934;0.05253100395202637
2950;65.625;0.16339421272277832;0.053735971450805664
2960;65.625;0.1641707420349121;0.053234100341796875
2970;65.625;0.16157269477844238;0.054541826248168945
2980;65.625;0.16227960586547852;0.053243160247802734
2990;65.625;0.16247248649597168;0.054100751876831055
3000;65.625;0.16242551803588867;0.053522348403930664
3010;65.625;0.1810152530670166;0.05295610427856445
3020;65.625;0.1626133918762207;0.05362582206726074
3030;65.9375;0.16269183158874512;0.05394601821899414
3040;65.625;0.16336512565612793;0.05365467071533203
3050;65.9375;0.16614437103271484;0.05414748191833496
3060;65.9375;0.1648111343383789;0.05353522300720215
3070;65.9375;0.16273808479309082;0.053984880447387695
3080;65.9375;0.16333293914794922;0.05422258377075195
3090;65.9375;0.16451573371887207;0.054409027099609375
3100;65.9375;0.16262292861938477;0.05472421646118164
3110;65.9375;0.16426587104797363;0.05420064926147461
3120;65.9375;0.1645674705505371;0.05422234535217285
3130;65.9375;0.16965675354003906;0.05411076545715332
3140;65.9375;0.1651601791381836;0.053331851959228516
3150;65.9375;0.16514992713928223;0.05410265922546387
3160;65.9375;0.18324899673461914;0.05524873733520508
3170;65.9375;0.1639387607574463;0.055020809173583984
3180;65.625;0.16378545761108398;0.054848670959472656
3190;65.625;0.16473078727722168;0.0545806884765625
3200;65.625;0.1666402816772461;0.05471229553222656
3210;65.625;0.1660146713256836;0.05518078804016113
3220;65.625;0.1660315990447998;0.05418825149536133
3230;65.625;0.16613554954528809;0.05446290969848633
